ncesid,state_id,District,ADM,ADM_persqmile,stpov_count,stpov_rate,ELL_count,ELL_rate,sr_BEP,srpp_BEP,lr_BEP,lrpp_BEP,slr_BEP,slrpp_BEP,lr,lrpp,lr_pct,sr,srpp,sr_pct,slr,slrpp,perpupil_transp,total_transport_aid,transp_cost_perpupil
4700030,171,Alamo City,574.6800000000001,44.9354914379545,220,0.38282174427507476,61,0.10614602909445256,4120000,7169.207210969582,648000,1127.5840467738567,4768000,8296.791257743438,584464,1016.4591304347827,0.10620844304641658,4560214,7930.806956521739,0.8286793179707759,5144678,8947.266086956522,NA,NA,NA
4700060,051,Alcoa City,2024.558125,15.365382207178149,544,0.2687006084352357,104,0.05136923396555977,9066000,4478.014183959278,13458000,6647.376449120225,22524000,11125.390633079502,12452264.900000002,6001.0915180722905,0.5149422740962567,9449812.75,4554.126626506024,0.3907809628486783,21902077.650000002,10555.218144578314,1923.2390024999997,471934.7663440483,245.38539709863667
4700090,010,Anderson County,6169.613832500001,272.06481600299867,2300,0.37279480733205184,27,0.004376286868680608,33106000,5365.976039797786,29060000,4710.181348291056,62166000,10076.157388088843,28019120,4563.374592833876,0.37689574796725145,35655703,5807.117752442997,0.4796183053387534,63674823,10370.492345276873,7230.013776666667,2905851.2101428574,401.915030856632
4700152,793,Arlington,4657.827,29.30870295677781,236,0.05066740349094116,85,0.018248852952245757,22362000,4800.951173154348,24977000,5362.371766920497,47339000,10163.322940074846,21425352.720000003,4485.106284278837,0.45791428995252226,22924435.580000002,4798.918898890517,0.489953504073656,44349788.300000004,9284.025183169355,4715.2574583333335,1115055.5274499035,236.47818540199793
4700120,541,Athens City,1588.9453349999999,14.219768171323226,623,0.39208397310911897,51,0.03209676184360364,8357000,5259.463504450894,6348000,3995.102827121488,14705000,9254.566331572383,6130959.14,3765.9454176904173,0.3352915051018836,9325785.08,5728.369213759213,0.5100109859368416,15456744.219999999,9494.31463144963,1566.4604166666668,345441.0155611939,220.52329690926476
4700153,794,Bartlett,8982.299294999999,31.666505536694476,1309,0.1457310602785921,223,0.024826605379775428,44692000,4975.563442300105,50176000,5586.097540518439,94868000,10561.660982818543,48346487.06,5394.007258730336,0.47849146434038914,45403754.03,5065.687161664621,0.4493668531780506,93750241.09,10459.694420394957,8725.574181666665,2152734.6634566095,246.7155305354836
4700180,020,Bedford County,8625.95066,464.93562550530913,3326,0.3855806891434271,933,0.10816199127204375,52050000,6034.117519517553,29593000,3430.6943276672996,81643000,9464.811847184852,14039865.27,1603.273412127441,0.1822509590111205,53308730.05,6087.556246431426,0.6919986045761705,67348595.32,7690.829658558866,8491.462551666666,3063362.2928007143,360.75791115624145
4700210,172,Bells City,367.645,28.693124170764065,116,0.31552176692189476,40,0.108800609283412,2644000,7191.720273633533,548000,1490.5683471827442,3192000,8682.288620816276,489131,1336.4234972677596,0.12358790001814159,2961069,8090.352459016393,0.748168281132904,3450200,9426.775956284153,NA,NA,NA
4700240,030,Benton County,2122.6262975,417.4289670599803,939,0.4423765036294619,9,0.004240030386224875,13045000,6145.6884875892765,7866000,3705.78655756054,20911000,9851.475045149817,7320439.35,3541.5768505079823,0.2881201363639881,15396108,7448.528301886792,0.605964823195303,22716547.35,10990.105152394775,2121.2022383333333,888314.1883425695,418.7786399096646
4700270,040,Bledsoe County,1601.2406924999998,377.5620590662579,740,0.46214164020816006,35,0.02185805055038595,12302000,7682.792510595656,3518000,2197.0463381787936,15820000,9879.838848774449,2933980.0600000005,1806.6379679802958,0.1465542244997614,13638673.61,8398.198035714286,0.6812606743206396,16572653.67,10204.836003694581,1686.481485,944953.3919974047,560.3105639771697
4700300,050,Blount County,10274.86148,515.5216236014248,2365,0.23017341933061272,227,0.022092755259217375,47720000,4644.344850087458,50868000,4950.723676325416,98588000,9595.068526412875,49687178.75,4747.48507070514,0.4516997915505461,50994400.629999995,4872.386836422702,0.4635835785869818,100681579.38,9619.871907127843,10579.143491666668,4176749.552991103,394.80980254036484
4701390,274,Bradford Special School District,540.7462499999999,74.23754118616144,158,0.2921888038983165,0,0,3607000,6670.411491526756,1902000,3517.361424143025,5509000,10187.772915669782,1555137,2737.917253521127,0.24758924248664688,4058647,7145.505281690141,0.6461664382306523,5613784,9883.422535211268,510.2833333333333,209644.997936434,410.8403787499115
4700330,060,Bradley County,9967.084105,293.75432080754496,3107,0.31172607427295307,218,0.021871993624558664,50661000,5082.830591806269,32532000,3263.943562358452,83193000,8346.77415416472,27842989.34,2801.6692835580598,0.306742347433511,53098882.88,5343.014980881465,0.5849830196683999,80941872.22,8144.684264439525,9843.881353333332,3799026.4568205853,385.9276966533287
4700360,821,Bristol City,4040.65672,30.508416538310534,1415,0.3501905997102372,39,0.009651896387773322,17522000,4336.4238078606195,26617000,6587.295542393911,44139000,10923.71935025453,23405025.66,5999.750233273519,0.509745180281952,18619147.329999994,4772.916516277876,0.4055120789142118,42024172.989999995,10772.666749551396,3971.743200833333,864169.5966592416,217.5794236842718
4700420,070,Campbell County,5164.4768225,473.24079744341606,2420,0.46858570251623977,36,0.00697069640106803,29741000,5758.763379560119,12163000,2355.127231283068,41904000,8113.890610843186,10376109.69,2012.8243821532492,0.200243646621734,31497413.32,6110.07047914646,0.6078537227133706,41873523.01,8122.894861299708,5411.1887775,2103759.5341758016,388.7795493151785
4700450,080,Cannon County,1880.5468,252.49017185821697,645,0.3429853487294227,8,0.0042540818447060185,11751000,6248.714469642553,4441000,2361.5471840424284,16192000,8610.261653684982,4400096.22,2278.661947177628,0.22620043177839294,13063025,6764.90160538581,0.6715448362017732,17463121.22,9043.563552563439,1886.3073683333334,795650.0767594662,421.80298402930543
